62,Brc1ccc(cc1)c1nn(c2c1c1nc3c(cc1cn2)Cc1c3cccc1)c1ccccc1,37
63,Brc1ccc(cc1)n1c2=CC(N=Cc2cc2c1nn(c2)C)c1ccccc1,21
64,Brc1ccc(cc1)n1c2=CC(N=Cc2cc2c1nn(c2C(=O)C)C)c1ccccc1,23
65,Brc1ccc(cc1)n1cccc1,12
66,Brc1ccc(s1)C(=O)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,31
67,Brc1ccc2c(c1)C(C)(C)c1c2cc2c(c1)c(C#Cc1ccccc1)c1c(c2C#Cc2ccccc2)cccc1,42
68,Brc1ccc2c(c1)CCc1c2c(nc2c1c1ccc(cc1CC2)Br)c1ccccc1,28
69,Brc1ccc2c(c1)Cc1c2ccc(c1)Br,14
70,Brc1ccc2c(c1)[nH]c(n2)c1ccc(cc1)c1ccc(c(c1)F)c1ccc(cc1)c1nc2c([nH]1)cc(cc2)Br,42
71,Brc1ccc2c(c1)[nH]c(n2)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1nc2c([nH]1)cc(cc2)Br,42
72,Brc1ccc2c(c1)c1cc(Br)ccc1[nH]2,15
73,Brc1ccc2c(c1)c1ccccc1n2c1cccc(c1)n1c2ccccc2c2c1cccc2,38
74,Brc1ccc2c(c1)c1nc3c(O)cc(cc3cc1CO2)F,18
75,Brc1ccc2c(c1)c1nc3c(O)cccc3cc1CO2,18
76,Brc1ccc2c(c1)ccn2C,10
77,Brc1ccc2c(c1)n1c(cc3c(c1n2)c(C)nn3c1ccccc1)c1ccccc1,33
78,Brc1ccc2c(c1)nc1c(n2)[nH]c2c([nH]1)cccc2,21
79,Brc1ccc2c(c1)nc1c(n2)[nH]c2c([nH]1)nccc2,21
80,Brc1ccc2n(c1)c(Cc1ccccc1)c(n2)c1ccccc1O,17
81,Brc1cccc(c1)N=Nc1ccc(c(c1)C=Nc1ccccc1O)O,24
82,Brc1ccccc1N1C(=O)Cc2c(C1=O)cccc2,18
83,Brc1ccccc1c1ccc(cc1)c1ccccc1,20
84,Brc1cnc(c(n1)Cc1ccccc1)N,6
85,Brc1cnc(c(n1)c1ccc(cc1)C(F)(F)F)N,13
86,Brc1cnc(c(n1)c1ccccc1)N,13
87,Brc1cnc2c(c1)C(F)(F)c1c2nccc1,14
88,Brc1nc(=O)c2c([nH]1)nc[nH]2,11
89,Brc1nc2cscc2nc1Br,10
90,Brc1nnc(s1)N=Nc1ccc(s1)c1cccs1,19
91,Brc1sc(c2c1SC(=C1Sc3c(S1)c(sc3Br)Br)S2)Br,17
92,C,0
93,C#CCCCn1c(ccc1c1cccs1)c1cccs1,17
94,C#CCCCn1cccc1c1cccs1,11
95,C#CCCn1c(ccc1c1cccs1)c1cccs1,17
96,C#CCN(c1ccc(cc1)C(=O)N[C@H](C(=O)O)CCC(=O)O)Cc1ccc2c(c1)c(=O)nc([nH]2)N,12
97,C#CCN1C(=O)C=CC1=O,5
98,C#CCNC(=O)c1cc(n2c1cc(cc2)c1ccncc1)C(=O)c1ccccc1,28
99,C#CCOC(=O)Cc1cc2c([nH]1)cccc2,10
100,C#CCOC(=O)[C@H](c1ccccc1)NC1=C(Br)C(=O)O[C@@H]1OC1CC(C)CCC1C(C)C,6
101,C#CCn1c(ccc1c1cccs1)c1cccs1,17
102,C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCc2c1ccc(c2)O,6
103,C#Cc1c(C#Cc2ccc(s2)C#Cc2cc(cc(c2C#C)[Si](C)(C)C)[Si](C)(C)C)cc(cc1[Si](C)(C)C)[Si](C)(C)C,27
104,C#Cc1c2ccccc2c(c2c1cccc2)C#C,20
105,C#Cc1ccc(cc1)C1=C2C=CC(=N2)C(=c2ccc(=C(C3=NC(=C(c4[nH]c1cc4)c1ccccc1)C=C3)c1ccccc1)[nH]2)c1ccccc1,55
106,C#Cc1ccc(cc1)N(c1ccc(cc1)C#C)c1ccc(cc1)C=C1CCc2c(C1=O)cccc2,36
107,C#Cc1ccc(cc1)N(c1ccc(cc1)C#C)c1ccc(cc1)C=C1Cc2c(C1=O)cccc2,36
108,C#Cc1ccc(cc1)Oc1ccc(cc1)C#C,18
109,C#Cc1ccc(cc1)S(=O)c1ccc(cc1)C#C,19
110,C#Cc1ccc(cc1)Sc1ccc(cc1)C#C,18
111,C#Cc1ccc2c(c1)C(=O)c1c2ccc(c1)C(=O)C,20
112,C#Cc1ccc2c(c1)Cc1c2ccc(c1)C#C,18
113,C#Cc1ccc2c(c1)Cc1c2cccc1,16
114,C#Cc1ccc2c(c1)cc1c(c2)c(C)cc(=O)o1,19
115,C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2N(C)C,41
116,C#Cc1cccc2c1cccc2C#Cc1cccc2c1cccc2N(C)C,27
117,C#Cc1ccnc(c1)c1cc(cc(c1)c1nccc(c1)C#C)c1nccc(c1)C#C,33
118,C#Cc1nc(C=Cc2ccc(cc2)N(C)C)cc(n1)C=Cc1ccc(cc1)N(C)C,26
119,C#Cc1nc(C=Cc2ccc(cc2)OC)cc(n1)C=Cc1ccc(cc1)OC,26
120,C#Cc1sc(c(c1C1=C(c2cc(sc2C)c2ccccc2)C(C(C1(F)F)(F)F)(F)F)C)C#C,24
121,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Br)c(=O)[nH]c1=O)[2H],8
122,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],8
123,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(I)c(=O)[nH]c1=O)[2H],8
124,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1ncc(=O)[nH]c1=O)[2H],8
125,C(=CC=C1C=C(OC(=C1)c1ccccc1)c1ccccc1)C=Cc1ccncn1,31
126,C(=Cc1ccc(cc1)C=CSC=C(c1ccccc1)c1ccccc1)SC=C(c1ccccc1)c1ccccc1,44
127,C(=Cc1ccc(cc1)c1ccc(cc1)C=CSC=C(c1ccccc1)c1ccccc1)SC=C(c1ccccc1)c1ccccc1,51
128,C(=Cc1ncnc(c1)C=CC=C1C=C(OC(=C1)c1ccccc1)c1ccccc1)C=C1C=C(OC(=C1)c1ccccc1)c1ccccc1,52
129,C(CP(c1ccccc1)c1ccccc1)CCP(c1ccccc1)c1ccccc1,6
130,C(N=Cc1ccccn1)CN=Cc1ccccn1,8
131,C(Oc1ccccc1n1cnnn1)COc1ccccc1n1cnnn1,12
132,C1=CC(C=C1)Cc1c2ccccc2c(c2c1cccc2)CC1C=CC=C1,16
133,C1=CC2=NC1=Cc1ccc([nH]1)C=C1C=CC(=N1)C=c1[nH]c(=C2)cc1,25
134,C1=CC=CC=CC=C1,7
135,C1=CCN(CC1)Cc1ccccc1,6
136,C1=CCc2c(C1)c(C=Nc1ccc3c(c1)cccc3)cc1c2CC=CC1,20
137,C1=CCc2c(C1)cc1c(c2C=Nc2ccc3c(c2)cccc3)cccc1,25
138,C1=Cc2c(OC1)ccc1c2cccc1,13
139,C1=c2ccc(=c3ccc(=CC=c4[nH]c(=c5[nH]c(=C1)cc5)cc4)[nH]3)[nH]2,27
140,C1CC2=Cc3ccc([nH]3)C=c3[nH]c(=Cc4[nH]c(C=C1N2)cc4)cc3,24
141,C1CCC(=CC1)c1ccc(s1)c1cccs1,13
142,C1CCC(CC1)n1nnc(c1)c1ccccn1,12
143,C1CCCNC1,0
144,C1CCCSC1,0
145,C1CCN(C1)c1ccc(cc1)C=Cc1ccc(cc1)n1c2ccccc2c2c1cccc2,31
146,C1CCN(CC1)c1ccc(cc1)C=c1oc(=Cc2ccccc2)c2c1cccc2,26
147,C1CCN(CC1)c1sc(cc1N=Nc1nccs1)c1cccs1,19
148,C1CC[C@H]([C@@H](C1)N=Cc1ccccn1)N=Cc1ccccn1,8
149,C1CC[C@H]([C@@H](C1)NCc1ccccn1)NCc1ccccn1,6
150,C1CC[C@H]([C@@H](C1)NCc1cccs1)NCc1cccs1,5
151,C1CCc2c(C1)nc1c(c2)cc2c(n1)cccc2,16
152,C1CN2CCCC3=C2C(C1)C1CCCN2C1=C3C=CC2,5
153,C1CN=C(N1)Cc1cccc2c1cccc2,11
154,C1COc2c(O1)c(sc2)c1ccc(cc1)c1scc2c1OCCO2,18
155,C1Cc2c(C1)nc1c(c2)cc2c(n1)cccc2,16
156,C1Cc2cn[nH]c2[C@@H]2[C@@H]1c1[nH]ncc1CC2,5
157,C1Oc2c(O1)cc1c(c2)CCN2C1Cc1ccc3c(c1C2)OCO3,6
158,C1Oc2c(O1)cc1c(c2)[nH]c2c1scc2,14
159,C=CC(=O)Nc1ccc2c(c1)nc(c(n2)N1CCOCC1)N1CCOCC1,16
160,C=CC(c1ccc(cc1)O)C,6
161,C=CC1=C(C)C(=Cc2[nH]c(c(c2C)CCC(=O)O)Cc2[nH]c(c(c2CCC(=O)O)C)C=C2NC(=O)C(=C2C=C)C)NC1=O,14
162,C=CC1Cc2c(N1S(=O)(=O)c1ccc(cc1)C)cccc2,9
163,C=CCCC(c1ccccc1)O,6
164,C=CCCCCCCCCCC(c1c2ccccc2cc2c1cccc2)O,16
165,C=CCCCCCCCCCCc1c2ccccc2cc2c1cccc2,16
166,C=CCCc1c2ccccc2cc2c1cccc2,16
167,C=CCN(n1nc(cc([nH]1)Cl)NC(=O)c1ccc2c3c1c1ccccc1C(=O)c3ccc2)CC=C,31
168,C=CCN1c2ccc(cc2C(C21C=Cc1c(O2)c(cc2c1ccc(c2)OC)c1nc(c(o1)c1ccccc1)c1ccccc1)(C)C)OC,34
169,C=CCN1c2ccccc2C(C21C=Cc1c(O2)c(cc2c1cccc2)c1nc(c(o1)c1ccccc1)c1ccccc1)(C)C,34
170,C=CCN1c2ccccc2C(C21C=Cc1c(O2)ccc2c1cccn2)(C)C,14
171,C=CCNc1ccc2c(c1)c1nc3ccc(=O)cc3oc1cc2,22
172,C=CCNc1ccc2c3c1cccc3c(=O)n(c2=O)c1ccc2c(c1)nn(n2)c1ccccc1O,35
173,C=CCOC(=O)C1Cc2c(O1)ccc(c2)Cl,6
174,C=CCOC1CCCCN1c1ccnnn1,6
175,C=CCOc1ccc2c(c1)oc1c(c2c2ccccc2C(=O)NC2CC(C)(C)NC(C2)(C)C)ccc(=O)c1,26
176,C=CCOc1nc(Nc2ccc3c(c2)nn(n3)c2cc(Cl)ccc2O)nc(n1)N1C(C)(C)CC(CC1(C)C)OCC=C,25
177,C=CCOc1nc(Nc2ccc3c(c2)nn(n3)c2ccccc2O)nc(n1)N1C(C)(C)CC(CC1(C)C)OCC=C,25
178,C=CCOc1nnc(c2c1cccc2)Cl,11
179,C=CCOc1nnc(c2c1cccc2)O[C@@H](c1ccnc2c1cc(OC)cc2)[C@H]1CC2CCN1C[C@@H]2CC,11
180,C=CC[C@@](c1cnn(c1)C)(N[S@](=O)C(C)(C)C)C,5
181,C=CC[C@H](C(=O)OCc1ccccc1)C[C@@H](C(=O)OCc1ccccc1)NC(=O)OC(C)(C)C,6
182,C=CCc1cc(OC)c(c(c1)c1cc(CC=C)cc(c1O)OC)O,13
183,C=CCn1c(nc(c1c1ccco1)c1ccco1)c1ccco1,23
184,C=COCCN(c1ccccc1)N=Cc1ccc2c(c1)c1ccccc1n2CC,17
185,C=C[C@H]([C@@H](C(=CO)C(=O)OC)C[C@@H]1NCCc2c1[nH]c1c2cccc1)C=O,10
186,C=C[C@H]1CN2CCC1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)Oc1nnc(c2c1cccc2)Cl,11
187,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](c1ccnc2c1cc(OC)cc2)O,11
188,C=Cc1ccc(cc1)CN1c2ccccc2Oc2c1cccc2,14
189,C=Cc1ccc(cc1)CNc1ccc2c(c1)C(=O)c1c(C2=O)cccc1,17
190,C=Cc1ccc(cc1)Cn1c2ccccc2c2c1cccc2,15
191,C=Cc1ccccc1,8
192,C=Cc1ccccn1,8
193,C=Cc1ccnc(c1)c1cc(cc(c1)c1nccc(c1)C=C)c1nccc(c1)C=C,33
194,C=Cc1nc(oc1c1ccccc1)c1cccc2c1cccc2,26
195,CC(=C)C(=O)Nc1ccc(c(c1)Cl)Cl,11
196,CC(=C)C(Cc1c(O)cc2c(c1O)c(=O)c1c(o2)ccc(c1)O)O,17
197,CC(=C)C1CCC(=CC1)C=Nc1ccc(cc1)O,10
198,CC(=C)C1CCC(=CC1)C=Nc1ccccc1O,10
199,CC(=C1C(=O)N(C(=O)C1=C(c1c(C)c2c(n1C)cccc2)C)Cc1ccccc1)C,18
200,CC(=CC(=O)C)Nc1ccc2c(c1)ccc(=O)o2,17
201,CC(=CC1C(C1(C)C)C(=O)OCc1coc(c1)Cc1ccccc1)C,6
202,CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,11
